mascon_id,lat_center,lon_center,lon_center_0_360,lat_span_deg,lon_span_deg,area_km2,gsfc_location_code,gsfc_basin_code,country_of_center,frac_area_land,frac_area_arabian_peninsula,on_arabian_peninsula,leakage_2sigma_cm,leakage_trend_uncert_cm_per_yr,mean_noise_2sigma_cm,series_std_cm,signal_variance_cm2,noise_variance_cm2,variance_snr,n_months_observed
9328,21.0,51.964285700000005,51.9642857,1.0,1.0714286,12384.43,80,6009,Saudi Arabia,1.0,1.0,True,0.9451273174441192,0.023661827549849655,1.4989380508199341,2.3669735887002297,5.602563969604444,0.5813791761285505,8.636678091761656,254
9329,21.0,53.035714299999995,53.0357143,1.0,1.0714286,12384.43,80,6009,Saudi Arabia,1.0,1.0,True,0.8738937856937148,0.022737960490941952,1.403413604586036,2.4306013818485974,5.907823077444312,0.5096399539744537,10.5921505591778,254
9330,21.0,54.107142899999985,54.1071429,1.0,1.0714286,12384.43,80,6009,Saudi Arabia,1.0,1.0,True,0.8457356760977185,0.04431828993176311,1.3833136365897114,2.5918199736424095,6.717530775771739,0.49514616505171133,12.566763210354631,254
9331,21.0,55.17857140000001,55.1785714,1.0,1.0714286,12384.43,80,6009,Saudi Arabia,1.0,1.0,True,0.8246397008200947,0.057854690790340745,1.4345046844582394,2.8520082191886487,8.133950882319608,0.5324711044633621,14.275854058817353,254
9332,21.0,56.25,56.25,1.0,1.0714286,12384.43,80,6009,Oman,1.0,1.0,True,0.895180359149911,0.04450313846635468,1.5562975188793,3.0380260182235155,9.229602087403027,0.6267254827201005,13.726706256373852,254
9333,21.0,57.32142859999999,57.3214286,1.0,1.0714286,12384.43,80,6009,Oman,1.0,1.0,True,1.0157849481758499,-0.007836529954939204,1.6367315701936331,2.9676329405732846,8.806845269975641,0.6931815936324547,11.704961226430502,254
9334,21.0,58.392857100000015,58.3928571,1.0,1.0714286,12384.43,80,6009,Oman,0.8695133630175165,0.8695133970141598,True,1.1816786470556757,-0.09150508865348848,1.7535537367182341,2.6632865877915415,7.0930954487103115,0.7956650129424131,7.914675564883334,254
9335,20.0,42.07100589999999,42.0710059,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,1.1837377356455199,-0.18852932401476244,1.538563906003151,2.5763960289556285,6.637816498018331,0.6125241031640813,9.83682497346592,254
9336,20.0,43.1360947,43.1360947,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,1.159155399048576,-0.09491423927338831,1.5474322066498882,3.1753175783474767,10.082641723362483,0.6196056459889412,15.272675674653941,254
9337,20.0,44.20118339999999,44.2011834,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,1.049007945600934,0.023827353227134866,1.5011352592280185,3.9094747369223444,15.283992718634034,0.5830848469609867,25.212296200619086,254
