month,observed,mission,decimal_year,arabian_peninsula_lwe_cm,arabian_peninsula_uncert95_cm,box_all_land_lwe_cm,box_all_land_uncert95_cm
2008-04,True,GRACE,2008.2896174863388,-0.8009709640682863,0.773741594392689,-0.8382433120312535,0.6808450190196632
2008-05,True,GRACE,2008.3743169398906,-1.5678116114722582,0.7691800507532003,-2.1758699986622956,0.6769549252901041
2008-06,True,GRACE,2008.4562841530055,-2.591845773481909,0.8085670201551823,-3.3356412801881996,0.7105442132168058
2008-07,True,GRACE,2008.5409836065573,-1.8295033076973273,0.7110922595538778,-2.190027875324936,0.6274175383511128
2008-08,True,GRACE,2008.6256830601094,-0.8868549581291875,0.7091415291509483,-1.00389908669279,0.6257539514804745
2008-09,True,GRACE,2008.707650273224,-2.3615186995726036,0.7580660356869646,-2.1063218818754423,0.6674768705489158
2008-10,True,GRACE,2008.792349726776,-2.768899596269266,0.7558126955720954,-2.935639178264044,0.6655552174980638
2008-11,True,GRACE,2008.8743169398906,-1.0261223992180342,0.7920487894792811,-1.2779199342082843,0.6964574323693159
2008-12,True,GRACE,2008.9590163934427,-0.39354987698100213,0.8285199589468256,-0.9019774914932753,0.7275601201584206
2009-01,True,GRACE,2009.0438356164384,0.8493185492958069,0.8453919258932244,0.05319906282461853,0.7419485680196537
2009-02,True,GRACE,2009.123287671233,-1.0205005457595047,0.7936355309424962,-1.7376188746950172,0.6978106087289688
2009-03,True,GRACE,2009.2054794520548,-1.405992389729971,0.7729449462890187,-2.0020588173344795,0.6801656358902496
2009-04,True,GRACE,2009.2876712328766,-0.8472130896761104,0.7829381547654062,-1.5215240802326937,0.688687864483142
2009-05,True,GRACE,2009.372602739726,-2.4026315332597035,0.807633330189364,-3.0227738482773043,0.709747960507539
2009-06,True,GRACE,2009.454794520548,-2.7934538904791526,0.787162933746882,-3.593519839546521,0.6922907646247386
2009-07,True,GRACE,2009.5397260273974,-1.1850402092280323,0.7671953595230185,-2.158157795019357,0.6752623765566438
2009-08,True,GRACE,2009.6246575342466,-2.2424868280827193,0.7363997643533685,-2.4310720958997494,0.6489998301172242
2009-09,True,GRACE,2009.7068493150684,-2.360780501536845,0.7492115755656881,-2.3153380485654904,0.6599257688783695
2009-10,True,GRACE,2009.7917808219179,-2.7400052048108843,0.7854726518080857,-3.286777529407529,0.6908492887360992
2009-11,True,GRACE,2009.8739726027397,-2.729816217716736,0.780833923020823,-3.0174353688277,0.6868933713549203
2009-12,True,GRACE,2009.958904109589,-2.22612589686723,0.7886955247342354,-2.2596178975983388,0.6935977613480125
2010-01,True,GRACE,2010.0438356164384,-0.8369467255732094,0.8176484003218686,-1.109462942753569,0.718288832765405
2010-02,True,GRACE,2010.123287671233,-1.1885990228973884,0.8111735106107232,-1.6176414706022986,0.7127670335992483
