mascon_id,lat,lon,gsfc_trend_cm_yr,csr_trend_cm_yr,diff_cm_yr,gsfc_p,csr_p,r
9249,26.0,47.368421100000006,-0.8770751059255184,-0.5000198107596974,0.37705529516582104,2.394143053849732e-51,3.5392919937959713e-54,0.909798187757179
9250,26.0,48.482972099999984,-0.533036109754754,-0.4168049474043028,0.11623116235045122,9.857992083831577e-33,3.8650456346360295e-36,0.8717581719980815
9251,26.0,49.59752320000001,-0.36830608499922757,-0.32151052515412176,0.046795559845105805,1.3570398438598407e-20,5.762603457036637e-24,0.8278579879206176
9252,26.0,56.28482969999999,-0.912346608001316,-0.4715892700633084,0.44075733793800753,1.9295935282839678e-32,5.2494329992687984e-18,0.653331219142056
9254,25.0,42.51533739999999,-1.5912322232162635,-1.066986710263984,0.5242455129522794,5.888232893099827e-131,3.3505135839559204e-72,0.9484768073648814
9255,25.0,43.6196319,-1.7570515706424927,-1.2257727104688054,0.5312788601736873,1.248577164103834e-121,1.2462455546587667e-80,0.9462159534341348
9256,25.0,44.72392640000001,-1.673181272044235,-1.0962983516137172,0.5768829204305177,3.9728528671232626e-110,4.476678159546476e-78,0.9447007686695452
9257,25.0,45.82822089999999,-1.394585394792591,-0.8768263285906416,0.5177590662019494,1.412162027846273e-94,3.5811498577497294e-75,0.9462017483882122
9258,25.0,46.932515300000006,-1.0283301604038435,-0.657846801314131,0.3704833590897125,1.8346417284078723e-74,1.3834319515032783e-75,0.9409891551148675
9259,25.0,48.036809800000015,-0.6796606238459577,-0.5321792567766374,0.14748136706932036,7.078016763024783e-50,1.026676700856921e-61,0.9231535560602618
9260,25.0,49.141104299999995,-0.417611526591679,-0.455029760299037,-0.03741823370735803,1.47436419122033e-29,8.883743752445561e-47,0.8761751004963755
9261,25.0,50.245398800000004,-0.2709772311488684,-0.3777129888435649,-0.10673575769469651,1.3320857052249351e-15,4.692653159501204e-39,0.8151749597114268
9262,25.0,51.34969330000001,-0.2236726448855447,-0.1355259503753512,0.0881466945101935,1.2295849640366423e-11,4.46679017698669e-06,0.4534715341302375
9263,25.0,55.7668712,-0.375752193670983,-0.20254089819753496,0.17321129547344805,4.439848884795634e-19,1.3077338165670059e-10,0.5810427856746392
9264,25.0,56.87116559999998,-0.41993491952922585,-0.13965387229291154,0.2802810472363143,6.61500592399312e-21,1.7166268507885606e-07,0.6547177890974396
9266,24.0,43.22188449999999,-1.089802291624093,-0.7729782079638864,0.31682408366020665,4.4164823022782625e-109,7.28544343225298e-50,0.9204704372679086
9267,24.0,44.316109400000016,-1.1567733281881485,-0.8384856779903502,0.31828765019779826,1.2194880816142949e-105,1.3965106999312313e-60,0.9208860930080399
9268,24.0,45.41033429999999,-1.0931269371212748,-0.845957278351172,0.24716965877010288,1.5961940545032035e-97,1.4014342394235798e-62,0.9337876430942369
9269,24.0,46.50455929999998,-0.9344340745597588,-0.7716564051486707,0.16277766941108807,1.4730387783676156e-86,1.1399488432255404e-58,0.937157912325987
9270,24.0,47.59878420000001,-0.7306403015009564,-0.6714722069246013,0.05916809457635508,2.7682509649628858e-64,1.2336831792204342e-66,0.9287477278729502
9271,24.0,48.69300909999998,-0.5155859758576404,-0.5676052885308185,-0.05201931267317805,2.0429203064599033e-40,2.9773927973867047e-60,0.9020688136653077
9272,24.0,49.78723400000001,-0.33398574581052004,-0.5033971514264033,-0.16941140561588325,4.031335586324132e-22,7.905658440415867e-52,0.8475349933232911
9273,24.0,50.88145900000001,-0.20511485721405975,-0.41038728173208716,-0.2052724245180274,4.546319467270758e-11,1.2114699025964157e-46,0.7439615978645212
9274,24.0,51.97568390000001,-0.14246370068006534,-0.17918691468379783,-0.03672321400373249,3.550836888928425e-07,4.722705033555945e-13,0.4919089679549158
9275,24.0,53.06990880000001,-0.13332914983762045,-0.1894760046289548,-0.056146854791334355,4.3362654504983583e-07,1.6993229375261333e-10,0.45961156467310704
9276,24.0,54.16413370000001,-0.14516815928570698,-0.12749267536304032,0.017675483922666657,3.292423024399641e-08,7.079732036513573e-07,0.5040213896543944
9277,24.0,55.2583587,-0.16727407106592082,-0.22642441309663308,-0.05915034203071226,1.8395690621826782e-09,9.412766808514504e-14,0.6869108481528895
9278,24.0,56.3525836,-0.1989695063400739,-0.20098915551108165,-0.002019649171007748,5.596620830392079e-11,9.079146653135704e-12,0.7038699733431489
9279,24.0,57.4468085,-0.23664055245516663,-0.12422852268006132,0.11241202977510531,5.973843540191788e-13,1.141825149899863e-08,0.7329748131397951
9281,23.0,41.873111800000004,-0.3625627046180672,-0.3909514595000403,-0.028388754881973066,1.2427531692730606e-50,8.091649748186387e-21,0.8170456026573449
9282,23.0,42.96072509999999,-0.5130122399730996,-0.5147198747239103,-0.0017076347508107048,1.948943430675592e-64,2.1494702514558382e-30,0.86809130333911
9283,23.0,44.048338400000006,-0.6257131331247937,-0.5930658011103255,0.03264733201446823,1.0115172105587542e-69,1.1939611567640584e-42,0.8860668226966991
9284,23.0,45.13595169999999,-0.6999312311792086,-0.7015213630006911,-0.0015901318214824878,3.1531984371066616e-71,2.0974413676207753e-53,0.9048387268491442
9285,23.0,46.22356500000001,-0.7186264604063591,-0.7357153053710522,-0.017088844964693095,2.540580657543528e-73,4.493497364213437e-53,0.9068526118214792
9286,23.0,47.3111782,-0.6726424155964936,-0.7226627551429097,-0.05002033954641605,6.616297962280783e-63,6.369930059965528e-59,0.9017968959618863
9287,23.0,48.398791500000016,-0.5638858481219537,-0.6640079422757482,-0.10012209415379447,6.615538896678352e-45,4.726523624565235e-57,0.8909526074044073
9288,23.0,49.4864048,-0.4164833114301528,-0.6249086560141581,-0.2084253445840053,8.558160345994666e-28,1.3372764495456203e-49,0.8348085701115079
9289,23.0,50.57401809999999,-0.27839196997043314,-0.5446501228287939,-0.26625815285836074,3.9866373336786505e-16,3.6753051299685515e-48,0.751462598846365
9290,23.0,51.661631400000005,-0.19042624939344863,-0.462972262114871,-0.2725460127214224,2.949989082079893e-10,6.454835759709064e-40,0.6647667492578669
9291,23.0,52.74924469999999,-0.16449391242423944,-0.3392722732203703,-0.17477836079613085,3.759591817953869e-09,2.0492706093799482e-31,0.6532537771020657
9292,23.0,53.83685800000001,-0.18253771923763107,-0.27531570505006797,-0.0927779858124369,1.1910799948263181e-11,6.972105139001998e-23,0.759598912740187
9293,23.0,54.92447129999999,-0.21560442933373514,-0.21883190261797675,-0.003227473284241611,4.404508495528174e-15,8.271016915996476e-15,0.8168475429392977
9294,23.0,56.01208460000001,-0.24259050754828673,-0.18294824904191934,0.059642258506367396,8.384673243534715e-17,3.1532636475060243e-10,0.7857374469562232
9295,23.0,57.099697899999995,-0.2508903313473822,-0.1423126264655597,0.1085777048818225,4.838306737306377e-16,1.826907208606383e-06,0.7262429786573303
9296,23.0,58.18731120000001,-0.22904116973461514,-0.09311127838658377,0.13592989134803135,7.496957503041547e-13,0.0012184753749054722,0.6569071018373649
9297,23.0,59.2749245,-0.1657020761491367,-0.06927788276392755,0.09642419338520916,3.603314366653614e-07,0.00044830168509346315,0.6009863108375426
9299,22.0,41.6216216,-0.1409882984670961,-0.3108279565270317,-0.16983965805993562,2.223189854791365e-14,3.764233018011781e-20,0.6290437477747949
9300,22.0,42.7027027,-0.22516585557048802,-0.41373097230979816,-0.18856511673931015,2.2436460689627116e-25,5.850293254424613e-31,0.7875335838402977
9301,22.0,43.78378380000001,-0.3390715040867107,-0.49509871025935315,-0.15602720617264243,8.879593713562953e-38,6.321568177905817e-41,0.856738216418905
9302,22.0,44.864864899999986,-0.4757213109240343,-0.5866862527241004,-0.11096494180006605,6.1846463028262906e-52,3.818843178663228e-47,0.8856421113849972
9303,22.0,45.9459459,-0.5871217408437153,-0.6477025287552433,-0.06058078791152799,2.679498922120639e-63,9.158468051789793e-57,0.890762409161201
