,gsfc,csr
2022-09-01,-86.12439162244122,-77.46799240271582
2022-10-01,-97.07963718980263,-104.48144217168364
2022-11-01,-94.75521109410191,-92.74430116082563
2022-12-01,-86.45543610384162,-68.09115811667789
2023-01-01,-67.64640034059619,-69.21500484314393
2023-02-01,-62.02285300373608,-51.51514028633271
2023-03-01,-61.57558916940075,-54.07556509057532
2023-04-01,-60.03087438525398,-30.53757584421119
2023-05-01,-69.6055051930234,-57.10788884451057
2023-06-01,-88.01871857449224,-53.28662009397623
2023-07-01,-86.47433399537589,-75.17605218200335
2023-08-01,-79.32111116095483,-68.77836272891035
2023-09-01,-88.1569423946555,-75.8251312924478
2023-10-01,-97.45298706752577,-92.89710647315535
2023-11-01,-82.22171191519274,-60.45549544889795
2023-12-01,-88.18556878503261,-93.5663265742086
2024-01-01,-97.71236745385562,-84.68485417904763
2024-02-01,-86.1588173326048,-67.36250053856999
2024-03-01,-79.69896762493764,-56.46986681707416
2024-04-01,-92.55638221079963,-50.41746052552984
2024-05-01,-81.00244777353748,-69.22486909232022
2024-06-01,-84.51183383014431,-67.51137622955669
2024-07-01,-70.81684833942117,-75.62124600093802
2024-08-01,-86.85596877797114,-68.44518046835674
2024-09-01,-92.94354666886753,-79.72213950960597
2024-10-01,-91.71271184526258,-69.22904183988433
2024-11-01,-86.2000601805751,-87.49082903445759
2024-12-01,-80.79209567264083,-72.3728888898528
2025-01-01,-70.99704147919417,-56.687068195613286
2025-02-01,-89.10794421470783,-76.66950997360794
2025-03-01,-104.95598133254899,-76.94987531622652
2025-04-01,-98.22920496160327,-92.38745357048579
2025-05-01,-94.26815996057304,-79.55246580631767
2025-06-01,-102.51250571021653,-96.80479562214364
2025-07-01,-107.50810741876705,-90.39432882394745
2025-08-01,-107.09256455430213,-102.19390181050804
2025-09-01,-109.80092393333223,-104.69167312940908
2025-10-01,-114.18982207307351,-101.74962039180807
2025-11-01,-101.8189883626336,-91.04642042031674
2025-12-01,-90.0208514396867,-93.47323931286776
2026-01-01,-96.92187376631169,-90.08613738976427
2026-02-01,-95.42610624332626,-93.20541563869787
2026-03-01,-87.76073664530338,-85.37031709417992
