HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT,basin_idx,n_mascons,grid_cells,tws_trend_mm_yr,tws_p,gws_trend_mm_yr,gws_p,gws_coverage,ice_fraction,gws_model_spread_mm_yr,first_year,last_year,n_months_first_year,n_months_last_year,tws_first_year_mm,tws_last_year_mm,tws_endpoint_change_mm,gws_first_year_mm,gws_last_year_mm,gws_endpoint_change_mm,span_years,tws_trend_implied_change_mm,gws_trend_implied_change_mm
1041473950,1041438860,1040011660,1040011660,1699.7,1699.7,155287.3,155287.3,1228,0,0,2,37,36,25.0,25.0,-21.440110090803277,0.2368635910446883,-14.39981457791213,0.4016357886772866,1.0,0.0,13.599533726072162,2018.0,2026.0,5.0,3.0,142.64765531006663,27.724971617790562,-114.92268369227607,99.90107293620278,-9.956029283102838,-109.85710221930562,7.75,-166.1204970759022,-111.57145860504129
1041473880,1041438860,1040011660,1040011660,1699.9,1699.9,362352.9,362355.2,1229,0,0,1,38,37,45.0,45.0,-14.430717958118342,0.47495786245439264,-5.673150021997709,0.7960361937887032,1.0,0.0,13.839917588167774,2018.0,2026.0,5.0,3.0,102.68915899266419,-9.368403681782409,-112.0575626744466,58.700781770568334,-25.101817904306234,-83.80259967487457,7.75,-111.8109016330593,-43.95623425668314
1040011670,0,1040011670,1040011670,0.0,0.0,245186.1,245186.1,1230,0,1,0,39,38,36.0,36.0,1.0018347723939875,0.893394680448284,0.3077487271657766,0.915280172884402,0.8413330111115329,0.0,8.339815507744435,2018.0,2026.0,5.0,3.0,55.09758027942091,76.49295488446525,21.39537460504434,36.53241356899826,-12.944187439134415,-49.476601008132675,7.75,7.762333760095784,2.3844733685945183
1040012590,0,1040012590,1040012590,0.0,0.0,2666.7,407139.0,1241,0,0,1,40,39,1.0,1.0,7.237448986671532,0.21151788999859114,,,0.0,0.0,,2018.0,2026.0,5.0,3.0,23.941110782325264,80.31845601896445,56.37734523663919,,,,7.75,56.076606796113445,
1041584690,1040012590,1040012590,1040012590,97.0,97.0,64544.4,64544.4,1242,0,0,2,41,40,10.0,10.0,7.1422308035746305,0.3928107993024185,-1.2274633653577842,0.6320182188060106,0.9825559334461345,0.0,14.956100098619542,2018.0,2026.0,5.0,3.0,37.27356302951915,138.00805092085977,100.73448789134062,42.62733803330154,41.87909070132885,-0.7482473319726921,7.75,55.33884510367202,-9.510530661088376
1041584780,1040012590,1040012590,1040012590,97.2,97.2,2422.9,345110.5,1243,0,0,1,42,41,4.0,4.0,9.260500736154139,0.09315000226183939,1.1594769329205366,0.638306906997368,0.5722933622918275,0.0,18.137910938963486,2018.0,2026.0,5.0,3.0,20.50342727689719,99.3925702290578,78.8891429521606,39.51987145558249,26.932088966572447,-12.587782489010042,7.75,71.75144992009915,8.983763778686157
1041576130,1041584780,1040012590,1040012590,258.7,258.7,81485.4,81485.7,1244,0,0,2,43,42,13.0,13.0,21.940718308422575,8.406320649081122e-05,17.32765589199561,6.065889580214565e-05,1.0,0.0,7.626822411792938,2018.0,2026.0,5.0,3.0,-19.709147842521542,116.63921551211321,136.34836335463476,-9.547396700128559,47.76452070888715,57.311917409015706,7.75,169.99926848141243,134.25671779424388
1041576090,1041584780,1040012590,1040012590,258.9,258.9,77221.4,261202.8,1245,0,0,1,44,43,15.0,15.0,13.97092079963386,0.3296870530166357,11.844597384030621,0.04302245657602132,1.0,0.0,3.7060032579983853,2018.0,2026.0,5.0,3.0,18.698946750049895,176.312386952569,157.61344020251912,9.373723069952305,100.56654339235354,91.19282032240123,7.75,108.248339118313,91.77333496730091
1041548260,1041576090,1040012590,1040012590,788.8,788.8,2565.2,155088.5,1247,0,0,1,45,44,3.0,3.0,18.12448084283546,0.12148827683356449,16.98348928761413,0.02702489929442544,1.0,0.0,1.4225982286206045,2018.0,2026.0,5.0,3.0,-5.613545484900944,194.51684294169118,200.13038842659213,-9.867138284969226,142.52559574536068,152.3927340303299,7.75,140.43061132162725,131.5900744255934
1041548220,1041576090,1040012590,1040012590,789.0,789.0,29066.7,29066.7,1246,0,0,2,46,45,7.0,7.0,6.8302650071767985,0.429930994592612,6.810815850771316,0.28393032439500454,1.0,0.0,1.9822537569238723,2018.0,2026.0,5.0,3.0,33.3722949355622,147.87693853580413,114.50464360024193,20.84055239182951,95.03612461238542,74.1955722205559,7.75,52.92169738620216,52.7710030326703
1041548760,1041548260,1040012590,1040012590,828.1,828.1,133110.8,133110.8,1249,0,0,1,47,46,19.0,19.0,23.81771983404394,0.0011376240327334401,23.439255318662738,0.00040258014880971307,1.0,0.0,3.0562098109239453,2018.0,2026.0,5.0,3.0,-44.07640524376776,101.68524452110312,145.76164976487087,-35.03002516953159,74.44848782075633,109.47851299028792,7.75,184.54249727678126,181.61010965589475
1041548750,1041548260,1040012590,1040012590,828.3,828.3,19497.6,19497.6,1248,0,0,2,48,47,5.0,5.0,12.347047149879415,0.1634408111262564,13.689896341746756,0.07580927213098329,1.0,0.0,3.120124229353306,2018.0,2026.0,5.0,3.0,-1.1063317352697801,162.06837277853364,163.17470451380342,-8.860614398990586,124.73599293739302,133.5966073363836,7.75,95.66637490529432,106.07092853427329
1040012600,0,1040012600,1040012600,0.0,0.0,772.3,772.3,1251,0,1,0,49,48,3.0,3.0,8.48713457645256,0.13665101715412634,,,0.2852921667000324,0.0,14.650553142114882,2018.0,2026.0,5.0,3.0,18.687989521388356,82.28194092720217,63.59395140581381,,,,7.75,65.7593178682019,
1040012680,0,1040012680,1040012680,0.0,0.0,46725.2,46725.6,1252,0,0,1,50,49,10.0,10.0,15.49576913569207,0.0016099466765695351,8.171973705197205,0.00863344462738196,0.9975937643246608,0.0,12.263433555584788,2018.0,2026.0,5.0,3.0,-5.625921112315782,88.92595862936622,94.551879741682,10.954927268118857,24.620774163785473,13.665846895666617,7.75,120.06304354280236,63.31741433458752
1040012690,0,1040012690,1040012690,0.0,0.0,10344.3,10344.3,1253,0,1,0,51,50,5.0,5.0,13.769448147670902,0.011827134584068274,5.356256662479931,0.17547244238243007,1.0,0.0,12.805465754960297,2018.0,2026.0,5.0,3.0,-5.127552967911379,80.35271233816695,85.48026530607834,12.74376843477027,31.472633817293865,18.728865382523594,7.75,106.68730529201548,41.50090720004984
1040012810,0,1040012810,1040012810,0.0,0.0,30280.3,30280.4,1254,0,0,1,52,51,10.0,10.0,15.414027932435133,0.005117667059333568,8.156783497351766,0.030056900710693932,0.9927611135836232,0.0,10.386113572571743,2018.0,2026.0,5.0,3.0,-11.445918988099143,69.21775462524135,80.66367361334049,4.741739446884198,43.147989151851675,38.40624970496748,7.75,119.42970307677325,63.19971881589459
1040012820,0,1040012820,1040012820,0.0,0.0,212505.0,212505.0,1255,0,1,0,53,52,31.0,31.0,11.696125986686736,0.0003677162298719244,5.422101023650602,0.00017613230255243784,0.8611425574024831,0.0,8.40419127817764,2018.0,2026.0,5.0,3.0,-13.082495890407575,33.56589631200617,46.648392202413746,2.7347289905809653,28.676946563593347,25.942217573012382,7.75,90.62296110150162,42.011077062097755
1040014490,0,1040014490,1040014490,0.0,0.0,34806.1,34806.1,1256,0,0,1,54,53,7.0,7.0,10.98497756136939,2.5043473312625996e-10,1.8755846248743717,0.23410256500086826,0.8145300980027897,0.0,12.814476749517514,2018.0,2026.0,5.0,3.0,-26.613282995111852,22.258269914198568,48.871552909310424,-8.955854015794797,13.186311385321359,22.142165401116156,7.75,85.11289938035695,14.53225048157282
1040014500,0,1040014500,1040014500,0.0,0.0,7381.5,7381.5,1257,0,1,0,55,54,3.0,3.0,11.811548115213318,8.793474501881876e-10,,,0.0,0.0,,2018.0,2026.0,5.0,3.0,-27.77456147580383,25.402382728406447,53.17694420421027,,,,7.75,91.51726534169389,
1040014920,0,1040014920,1040014920,0.0,0.0,45083.1,45083.1,1258,0,0,1,56,55,10.0,10.0,11.291842677044626,1.126967997279337e-18,3.223244010823586,0.03989060170449001,0.7225853561890242,0.0,11.332771196158525,2018.0,2026.0,5.0,3.0,-33.13671146592559,31.1539119376733,64.29062340359889,-14.078756007156112,30.037101861433243,44.11585786858936,7.75,87.49052642309731,24.974074060590688
