time,gsfc_tws,gsfc_minus_res,csr_tws,gsfc_tws_nl,gsfc_minus_res_nl,csr_tws_nl
2003-12-01,52.93808622175668,54.23098701048401,29.164683691706447,66.91972489931543,59.770977787447954,30.2503569251596
2004-01-01,45.68414616147716,47.76917417645232,26.324684088969295,51.37639163399862,44.164547812404514,23.88642898066315
2004-02-01,18.947989217574236,21.068266101260253,12.57210367526053,18.776423671508486,12.665944135468745,17.522222992965382
2004-03-01,27.708345043274946,30.86408847217866,13.854536725954004,38.86997324947236,32.69628029200926,22.970103937561134
2004-04-01,34.64379561954495,36.66509093620231,3.3516537920969074,39.061155381304566,29.611738230336258,17.900164510034877
2004-05-01,38.651651858716114,40.74218902051396,-2.835639677064335,44.48595874680311,38.02161255169665,7.495309788987429
2004-06-01,21.38351584924046,21.75821192490391,8.16934990579477,14.427829581399095,12.445831539795918,12.512073484399997
2004-07-01,6.590769858834611,7.414687089474255,-1.1372975283080033,-7.552200394407118,-8.695948713356325,0.7017567152507721
2004-08-01,3.9884550543563195,4.067881851061482,2.79857146111936,-5.93441600711381,-6.071690052847857,-1.456105453639431
2004-09-01,12.393797585678891,10.644532236488956,14.736567080796746,4.006424732554564,-1.289284061211612,11.360386015392999
2004-10-01,35.86767385280932,33.71437906172484,32.30452867559669,26.05904388570063,19.981444133596245,25.405010023567677
2004-11-01,33.83891086298583,31.125780674015832,28.787251147675917,24.755704252238026,18.268561117764904,16.28028991451446
2004-12-01,47.00166096472956,43.991181383156466,37.34187937624125,41.135554793927874,34.23946766763685,24.088451054366733
2005-01-01,34.1281132154418,32.67224306343044,32.06048546126063,30.991082266499856,25.480848013712095,26.30988342486042
2005-02-01,48.886019699412394,46.80422854834404,36.41372468948299,45.33668917518884,39.88216956668445,29.784737193514964
2005-03-01,39.09940434524068,36.74828101436966,17.961849761819387,37.085222280726235,30.486404583214377,23.69740876350538
2005-04-01,20.52482578452057,19.925853816823818,7.1622034489757676,14.108335786015534,12.976466444088322,14.42035411097365
2005-05-01,-18.12092199715357,-16.686609471951616,-19.20170035324015,-23.065235801564107,-20.471331378047743,-10.945595262603016
2005-06-01,-32.69893705879166,-30.409089598134315,-20.242904877066763,-40.664663951524645,-36.474781955409,-16.779266300377827
2005-07-01,-26.102025528876407,-23.232379875002575,-3.6857028014873543,-35.67705117056622,-29.65450355254953,-3.816716855740265
2005-08-01,8.513771150589974,8.44651587611623,0.7458172915255236,0.6254868979844045,-3.0851674541066783,-0.9294385678096209
2005-09-01,-8.422677521695741,-9.1781399025791,3.2822856671743357,-17.81215290507919,-21.04125903669061,-4.746009023429097
2005-10-01,-9.232460184180885,-11.090262410206448,12.384584925334009,-15.830086810885534,-21.67271663332826,5.514476193543408
2005-11-01,-28.760131070855035,-31.258558563003227,2.8225710413512557,-32.04305275754859,-40.59575032003329,-1.1604330394790703
2005-12-01,-26.81782553826281,-29.11713878055898,-5.698152216686542,-29.552513889515993,-38.28185985551011,-7.868196220307253
2006-01-01,-21.286594764426948,-22.754046129341052,-25.37337495775378,-18.827710516142478,-25.979957816138857,-23.88075702071469
2006-02-01,-34.5814500084355,-34.681307828218,-31.979254622532725,-34.464808885249646,-40.56626320912735,-28.150825454808036
2006-03-01,-54.440439301718314,-53.47636890303563,-31.51555757117235,-55.84104801447562,-57.849116937264775,-26.235248404487837
2006-04-01,-56.4337867231763,-52.01723950704192,-39.866783618682085,-57.454283614220934,-52.714997379005666,-31.429649447486852
2006-05-01,-69.99937134334522,-65.02674045012145,-53.29697273061691,-72.17573448894107,-64.00402053070053,-44.33179978139376
2006-06-01,-62.36559805906362,-57.04073019090938,-58.01929315149762,-66.66102897221032,-57.27174042798022,-52.32088214916811
