,tws,reservoir,soil_moisture,groundwater,tws_minus_reservoir_only
2005-02-01,44.357241567891464,12.454762141198582,19.355970030256117,12.54650939643677,31.902479426692885
2005-03-01,37.341489365831755,13.216775749137147,19.546195226422448,4.578518390272166,24.12471361669461
2005-04-01,31.759835644311494,10.244984173616924,4.68885392182812,16.825997548866454,21.51485147069457
2005-05-01,-3.402195037529209,8.51968511496896,-1.6436938742544638,-10.278186278243703,-11.921880152498167
2005-06-01,-4.368693045120792,9.826122701075677,-6.746177507310694,-7.448638238885779,-14.194815746196472
2005-07-01,-12.26889907333115,5.651656932786409,-4.947274166464741,-12.97328183965282,-17.920556006117558
2005-08-01,23.899345809228727,14.275652663495922,16.804958252914364,-7.181265107181562,9.623693145732801
2005-09-01,-7.180839306756963,11.809512140385861,-10.473332151977234,-8.517019295165591,-18.99035144714283
2005-10-01,-19.42489525792453,12.13386291385944,-6.343882013782374,-25.214876158001598,-31.558758171783968
2005-11-01,-34.87420781385993,14.716735850615498,-7.547286735321135,-42.043656929154295,-49.590943664475425
2005-12-01,-37.84324492052864,14.710898125307686,-8.253588525846745,-44.3005545199896,-52.55414304583633
2006-01-01,-31.490192848831263,14.65686551423971,-20.524707912694087,-25.622350450376885,-46.14705836307097
2006-02-01,-35.44425649254702,13.101696856571904,-21.66755582902655,-26.87839752009239,-48.545953349118925
2006-03-01,-55.58478092937008,8.626026974414447,-25.069746269063778,-39.14106163472074,-64.21080790378453
2006-04-01,-39.80278375592496,4.373828596474435,-22.591190886855014,-21.585421465544385,-44.1766123523994
2006-05-01,-52.512693724906185,2.9418755802447705,-19.035374980080128,-36.41919432507082,-55.454569305150955
2006-06-01,-30.365058065806448,4.626716152961251,-26.982802597438027,-8.008971621329673,-34.9917742187677
2006-07-01,-24.80684593528931,0.7421235391796087,-28.402857573792954,2.853888099324031,-25.54896947446891
2006-08-01,-13.47366937111557,-1.931361921516,-23.971133130211047,12.428825680611475,-11.542307449599573
2006-09-01,-20.54405017451009,-3.5025462912913548,-14.354275825064223,-2.6872280581545103,-17.041503883218734
2006-10-01,-15.756256399420876,-2.5397978593528108,11.388530019088691,-24.60498855915676,-13.216458540068066
2006-11-01,-10.234923784186078,-2.5527182308991176,4.854396178970363,-12.536601732257322,-7.68220555328696
2006-12-01,-7.109109834018533,-2.803677263406645,15.986894561741327,-20.292327132353222,-4.305432570611887
