lat_center,lon_center,lat_span,lon_span,area_km2,location,mascon_id,lon_180,leakage_trend_cm_yr,leakage_2sigma_cm,lat_min,lat_max,lon_min,lon_max
28.0,259.4952681,1.0,1.1356467,12407.1,80.0,3145,-100.50473190000002,0.19675466571592123,1.0272301701801603,27.5,28.5,-101.07255525000002,-99.93690855000003
27.0,258.1875,1.0,1.125,12404.16,80.0,3148,-101.8125,-0.13515882159323048,1.133212092593306,26.5,27.5,-102.375,-101.25
27.0,259.3125,1.0,1.125,12404.16,80.0,3149,-100.6875,-0.06731754745580439,1.144550989715098,26.5,27.5,-101.25,-100.125
27.0,260.4375,1.0,1.125,12404.16,80.0,3150,-99.5625,0.07905710219775382,1.3316320148432716,26.5,27.5,-100.125,-99.0
26.0,259.1331269,1.0,1.1145511,12397.52,80.0,3151,-100.86687310000002,-0.32806243503953597,1.2977739869707716,25.5,26.5,-101.42414865000002,-100.30959755000002
26.0,260.247678,1.0,1.1145511,12397.52,80.0,3152,-99.75232199999999,-0.3481779195347746,1.4720956656144744,25.5,26.5,-100.30959754999999,-99.19504644999999
26.0,261.3622291,1.0,1.1145511,12397.52,80.0,3153,-98.63777090000002,-0.2950089799555238,1.6606303762633894,25.5,26.5,-99.19504645000002,-98.08049535000002
25.0,260.0613497,1.0,1.1042945,12387.25,80.0,3154,-99.9386503,-0.5764786694253631,1.3974082234095089,24.5,25.5,-100.49079755000001,-99.38650305
26.0,258.0185759,1.0,1.1145511,12397.52,80.0,3226,-101.98142410000003,-0.22341313177272312,1.1737160055810114,25.5,26.5,-102.53869965000003,-101.42414855000003
25.0,257.8527607,1.0,1.1042945,12387.25,80.0,3230,-102.14723930000002,-0.19962532206149727,1.0523029355669433,24.5,25.5,-102.69938655000003,-101.59509205000002
25.0,258.9570552,1.0,1.1042945,12387.25,80.0,3231,-101.04294479999999,-0.41415433892614995,1.1906448830830805,24.5,25.5,-101.59509204999999,-100.49079754999998
24.0,257.6899696,1.0,1.0942249,12373.42,80.0,3233,-102.31003040000002,-0.04783619004324553,0.9453794155493187,23.5,24.5,-102.85714285000002,-101.76291795000002
24.0,258.7841945,1.0,1.0942249,12373.42,80.0,3234,-101.21580549999999,-0.2744857871087779,1.1024600704017729,23.5,24.5,-101.76291794999999,-100.66869304999999
24.0,259.8784195,1.0,1.0942249,12373.42,80.0,3235,-100.1215805,-0.5045001183179956,1.3129073735357073,23.5,24.5,-100.66869295,-99.57446805
23.0,258.3081571,1.0,1.0876133,12393.41,80.0,3237,-101.69184289999998,0.06196340301322897,0.9457498173828055,22.5,23.5,-102.23564954999998,-101.14803624999999
23.0,259.3957704,1.0,1.0876133,12393.41,80.0,3238,-100.6042296,-0.13332898104517701,1.1240426660172227,22.5,23.5,-101.14803624999999,-100.06042295
22.0,258.9189189,1.0,1.0810811,12409.39,80.0,3239,-101.0810811,0.2396061642844157,1.1897890053469857,21.5,22.5,-101.62162165000001,-100.54054055
25.0,261.1656442,1.0,1.1042945,12387.25,80.0,3240,-98.83435580000003,-0.633485740571575,1.6794763485750765,24.5,25.5,-99.38650305000003,-98.28220855000002
25.0,262.2699387,1.0,1.1042945,12387.25,80.0,3241,-97.73006129999999,-0.5787450229598429,2.105565436005872,24.5,25.5,-98.28220855,-97.17791404999998
24.0,260.9726444,1.0,1.0942249,12373.42,80.0,3242,-99.02735560000002,-0.6509063177522929,1.6424398024985396,23.5,24.5,-99.57446805000002,-98.48024315000002
24.0,262.0668693,1.0,1.0942249,12373.42,80.0,3243,-97.93313069999999,-0.6594428060119789,2.1563872481477873,23.5,24.5,-98.48024314999999,-97.38601824999999
23.0,260.4833837,1.0,1.0876133,12393.41,80.0,3244,-99.51661630000001,-0.33110443574248577,1.4092189219849183,22.5,23.5,-100.06042295,-98.97280965000002
23.0,261.570997,1.0,1.0876133,12393.41,80.0,3245,-98.42900300000002,-0.4479752677848891,1.863423782826239,22.5,23.5,-98.97280965000002,-97.88519635000003
23.0,262.6586103,1.0,1.0876133,12393.41,80.0,3246,-97.34138969999998,-0.4301985650195503,2.6087239081983866,22.5,23.5,-97.88519634999997,-96.79758304999999
22.0,260.0,1.0,1.0810811,12409.39,80.0,3247,-100.0,0.10295964357849466,1.288064578728045,21.5,22.5,-100.54054055,-99.45945945
22.0,261.0810811,1.0,1.0810811,12409.39,80.0,3248,-98.9189189,-0.045128702772233416,1.5633458642180356,21.5,22.5,-99.45945945,-98.37837834999999
22.0,262.1621622,1.0,1.0810811,12409.39,80.0,3249,-97.83783779999999,-0.14032456363350446,2.0668984808878297,21.5,22.5,-98.37837834999999,-97.29729724999999
22.0,257.8378378,1.0,1.0810811,12409.39,80.0,3261,-102.16216220000001,0.2974379182167753,1.0883187690125964,21.5,22.5,-102.70270275000001,-101.62162165000001
