time,gsfc_tws,gsfc_minus_res,reservoir,chirps_cum_cm,csr_tws,csr_minus_res,gsfc_tws_paired,csr_tws_paired
2004-09-01,4.006424732554564,-1.289284061211612,5.295708793766175,17.4010348938145,11.360386015392999,6.064677221626824,4.006424732554564,11.360386015392999
2004-10-01,26.05904388570063,19.981444133596245,6.077599752104386,16.37596768283196,25.405010023567677,19.327410271463293,26.05904388570063,25.405010023567677
2004-11-01,24.755704252238026,18.268561117764904,6.4871431344731185,14.080481684182129,16.28028991451446,9.793146780041342,24.755704252238026,16.28028991451446
2004-12-01,41.135554793927874,34.23946766763685,6.896087126291025,10.725459191585715,24.088451054366733,17.19236392807571,41.135554793927874,24.088451054366733
2005-01-01,30.991082266499856,25.480848013712095,5.510234252787757,7.9274653095698895,26.30988342486042,20.79964917207266,30.991082266499856,26.30988342486042
2005-02-01,45.33668917518884,39.88216956668445,5.454519608504385,8.066316819239463,29.784737193514964,24.33021758501059,45.33668917518884,29.784737193514964
2005-03-01,37.085222280726235,30.486404583214377,6.5988176975118495,5.340192354474709,23.69740876350538,17.098591065993528,37.085222280726235,23.69740876350538
2005-04-01,14.108335786015534,12.976466444088322,1.1318693419272168,2.17807372711917,14.42035411097365,13.288484769046434,14.108335786015534,14.42035411097365
2005-05-01,-23.065235801564107,-20.471331378047743,-2.5939044235163657,2.9994989159248586,-10.945595262603016,-8.351690839086649,-23.065235801564107,-10.945595262603016
2005-06-01,-40.664663951524645,-36.474781955409,-4.189881996115662,0.5124648774193303,-16.779266300377827,-12.589384304262165,-40.664663951524645,-16.779266300377827
2005-07-01,-35.67705117056622,-29.65450355254953,-6.022547618016689,8.762906980080107,-3.816716855740265,2.2058307622764244,-35.67705117056622,-3.816716855740265
