time,tws_mm,tws_minus_res_mm,reservoir_mm,tws_mm_nlweighted,tws_minus_res_mm_nlweighted,reservoir_mm_nlweighted,tws_mm_paired,tws_mm_nlweighted_paired
2003-11-01,75.2870370452743,76.23080169891465,-1.658724090711282,90.75044905605145,85.15005853908823,5.6003905169632135,75.2870370452743,90.75044905605145
2003-12-01,52.93808622175665,54.23098701048401,-1.4774498736905637,66.91972489931543,59.770977787447954,7.148747111867479,52.93808622175665,66.91972489931543
2004-01-01,45.684146161477145,47.76917417645232,-1.7073387690385016,51.376391633998615,44.16454781240452,7.211843821594107,45.684146161477145,51.376391633998615
2004-02-01,18.947989217574225,21.068266101260253,-2.0073235721872233,18.776423671508475,12.665944135468745,6.110479536039734,18.947989217574225,18.776423671508475
2004-03-01,27.708345043274935,30.86408847217866,-2.1729789548028524,38.869973249472345,32.69628029200926,6.173692957463088,27.708345043274935,38.869973249472345
2004-04-01,34.64379561954495,36.66509093620231,-0.8930491789215523,39.06115538130455,29.611738230336265,9.449417150968294,34.64379561954495,39.06115538130455
2004-05-01,38.6516518587161,40.74218902051396,-0.6288421424013861,44.4859587468031,38.02161255169664,6.4643461951064625,38.6516518587161,44.4859587468031
2004-06-01,21.38351584924045,21.75821192490391,-0.5830228348637148,14.427829581399095,12.44583153979592,1.9819980416031777,21.38351584924045,14.427829581399095
2004-07-01,6.5907698588346095,7.414687089474255,-1.187098369478178,-7.552200394407118,-8.695948713356326,1.1437483189492093,6.5907698588346095,-7.552200394407118
2004-08-01,3.988455054356318,4.067881851061482,-0.9571201888389805,-5.93441600711381,-6.071690052847856,0.1372740457340462,3.988455054356318,-5.93441600711381
2004-09-01,12.39379758567889,10.644532236488956,0.5778616501586572,4.006424732554564,-1.2892840612116117,5.295708793766175,12.39379758567889,4.006424732554564
2004-10-01,35.86767385280931,33.71437906172484,2.153294791084475,26.05904388570062,19.981444133596245,6.077599752104385,35.86767385280931,26.05904388570062
2004-11-01,33.83891086298582,31.125780674015832,2.713130188970009,24.75570425223802,18.268561117764904,6.487143134473119,33.83891086298582,24.75570425223802
2004-12-01,47.00166096472954,43.991181383156466,3.0104795815730894,41.135554793927874,34.23946766763685,6.896087126291024,47.00166096472954,41.135554793927874
2005-01-01,34.128113215441786,32.67224306343044,2.621464777866484,30.991082266499852,25.480848013712095,5.510234252787758,34.128113215441786,30.991082266499852
