mascon,year,all_field_km2,ag_km2,crop_km2,irr_km2,irr_crop_km2,mascon_km2,all_field_frac_pct,ag_frac_pct,crop_frac_pct,irr_frac_pct,irr_crop_frac_pct
11,2019,372.8722626438768,89.46764092328289,82.75604261148447,87.68075767199,81.08471443541367,12393.11,3.00870614917383,0.7219143614741004,0.6677584771819541,0.7074960011812208,0.6542725307482438
11,2020,381.8410034340601,91.65382837893151,81.82922188962914,89.7933841021295,80.10838047202705,12393.11,3.081074915288092,0.7395547072440372,0.6602799611205672,0.7245427830635691,0.646394492359279
11,2021,389.2184666677089,92.87137526074798,81.27920130980175,87.95599479217026,79.69850539493795,12393.11,3.140603663388035,0.7493790925824751,0.6558418452656496,0.7097168894020166,0.6430872105140514
11,2022,515.099121341199,92.48316552660656,82.18312478783321,86.60184553274466,76.30180479397131,12393.11,4.156334619326375,0.746246628381468,0.6631356034751019,0.6987902595292438,0.6156792346228777
11,2023,526.5316807908324,93.17359249617564,84.41241974292325,81.07371127169203,74.57522552316809,12393.11,4.248583937291223,0.7518176833432095,0.6811237836420659,0.654183746224249,0.6017474671262345
12,2014,796.5209915663005,412.17427382722724,376.4280925491212,412.17427382722724,376.4280925491212,12390.17,6.428652646140453,3.3266232329921803,3.038118868014896,3.3266232329921803,3.038118868014896
12,2016,934.1988571753118,460.4296343124019,437.7149688235913,460.4296343124019,437.7149688235913,12390.17,7.539838897894958,3.7160881110783945,3.5327599929911475,3.7160881110783945,3.5327599929911475
12,2018,821.3066669005766,473.17060745821743,444.402103582155,473.17060745821743,444.402103582155,12390.17,6.628695707166057,3.818919413197861,3.586731284414621,3.818919413197861,3.586731284414621
12,2019,819.4335399046773,475.50940965359797,423.93818217393505,348.84989255761104,344.94854955539944,12390.17,6.613577859744275,3.837795685237555,3.421568728870831,2.815537579852504,2.7840501748999364
12,2020,843.6968398648621,487.3797928427532,424.5839718090554,325.3536509680289,312.49569175281175,12390.17,6.809404873902958,3.9336005304427077,3.4267808416596015,2.625901428051664,2.522125941393958
12,2021,866.4573314190282,492.43322318747977,426.4284716826247,301.8469278344418,300.95090364490954,12390.17,6.993102850235535,3.974386333581216,3.4416676420309384,2.436180680607625,2.4289489461799922
12,2022,883.032252035631,507.4191495142079,454.72203556367316,352.18502992692953,299.5283993939977,12390.17,7.126877613750505,4.095336460389227,3.670022570825688,2.842455187676437,2.417468036306182
12,2023,1066.8069754589997,512.7314954806486,454.0876015380452,333.6290278342683,331.00415894231895,12390.17,8.610107653559231,4.1382119493166645,3.6649021081877424,2.6926912853840443,2.6715061935576263
13,2014,7705.725719599421,4264.032658175469,3906.4345014192813,4264.032658175469,3906.4345014192813,12390.17,62.19225175763869,34.41464207654511,31.528498006236248,34.41464207654511,31.528498006236248
13,2016,8209.521282648195,4434.282835555572,4035.4622973452974,4434.019833616652,4035.199295406378,12390.17,66.25834256227473,35.788716664545944,32.56987028705254,35.78659399844112,32.56774762094772
13,2018,7795.326935685753,4480.16270304138,4134.228175421998,4476.225336585221,4130.290808965839,12390.17,62.915415492166396,36.15900914225858,33.367001222921054,36.127230995097094,33.335223075759565
13,2019,7863.399661582217,4478.559401896493,4207.820489354208,4406.1833972469885,4144.013517837853,12390.17,63.46482462776715,36.14606903615118,33.96095848042608,35.56192850660636,33.44597788277201
13,2020,7901.851516015232,4488.968057392942,4011.7362157595894,4416.786694529038,3953.465557841164,12390.17,63.77516624885075,36.23007640244598,32.37837911634457,35.647506810068286,31.908081631173452
13,2021,7889.067778396263,4482.651708807447,4018.655788232563,4429.260286309553,3970.3323282710976,12390.17,63.67198979833419,36.17909769444202,32.434226392636766,35.74818010010801,32.04421188951481
13,2022,7887.78458476763,4476.567623843268,4116.855074595642,4386.394715245079,4026.682165997453,12390.17,63.661633252551255,36.12999356621634,33.226784415352185,35.402215750430216,32.49900659956605
13,2023,7657.563043617781,4471.2991616758445,4161.600894768475,4373.682484449651,4075.625670979918,12390.17,61.8035349282357,36.08747225966911,33.58792409441093,35.299616425356966,32.89402543290301
14,2014,879.6034309501787,701.6619648249575,656.6144228792562,701.6619648249575,656.6144228792562,12390.17,7.09920389268411,5.663053572509154,5.299478722884804,5.663053572509154,5.299478722884804
14,2016,1022.4991230620716,720.7840882650812,666.5996329212555,710.0527643486074,655.8683090047816,12390.17,8.252502774877758,5.817386591669696,5.380068497213965,5.730774996215608,5.293456901759876
14,2018,1036.9307920699327,731.3255489074029,691.5221769746522,727.2648418070095,687.4614698742588,12390.17,8.368979538375445,5.9024658169129465,5.581216213939375,5.869692197984446,5.548442595010874
14,2019,1044.1798793210528,731.7828504549348,693.2998900978412,715.848814193108,677.3658538360146,12390.17,8.427486300196469,5.906156658503756,5.595563984173269,5.777554417680371,5.466961743349886
14,2020,1055.253761407405,733.8507554676212,692.1031898650673,714.4017637063164,672.6541981037625,12390.17,8.516862653275984,5.922846542602896,5.585905519174211,5.7658753972408485,5.4289343738121625
14,2021,1055.5097798655709,734.1311640072668,677.4429999301203,728.3829610182333,671.7012592993821,12390.17,8.518928956306256,5.925109695890103,5.467584382862546,5.878716442294443,5.421243286406741
14,2022,1052.1978554253842,735.875832855483,672.623188780189,711.1809998248547,647.9283557495608,12390.17,8.492198698043563,5.939190768613207,5.428684100219683,5.739880888033454,5.22937421963993
14,2023,1064.4750145388196,745.69150888086,698.787285237921,725.7084207896528,678.8041971467136,12390.17,8.591286596865253,6.018412248426454,5.639852279976151,5.857130457367838,5.4785704889175335
15,2014,28.662276354995278,27.38596736253403,26.74880906046219,27.38596736253403,26.74880906046219,12390.17,0.23133077556639883,0.2210297950918674,0.21588734505226473,0.2210297950918674,0.21588734505226473
15,2016,107.02691328361705,93.27268993147327,91.4501100597117,93.27268993147327,91.4501100597117,12390.17,0.8638050428978541,0.7527958852176626,0.7380859993019603,0.7527958852176626,0.7380859993019603
15,2018,118.28476302695901,104.5305397297716,103.250715358071,104.5305397297716,103.250715358071,12390.17,0.9546661831674546,0.8436570259308114,0.8333276731317731,0.8436570259308114,0.8333276731317731
