footprint,area_km2,irr_frac_pct,irr_crop_frac_pct,n_months,cu_mm_yr,cu_ds_std_mm,dsdt_ds_std_mm,tws_noise_floor_mm,dsdt_noise_mm,snr_vs_noisefloor,snr_vs_dsdt_std,snr_vs_residual,r_raw,r_deseason,r_dsdt_P,r_P_CU,induced_via_P,partial_r,partial_p,n_eff_resid,b_P,se_P,b_CU,se_CU,p_CU,months_for_2sigma,mascon_id,lat,lon,cu_mm_month,_icf,cu_over_irrigated_mm_yr
mascon 1848,12373.54,1.7866243797547388,1.72245403793553,187,7.292085207387446,0.3144265991439707,19.0155915067625,23.833706103860617,16.852975206847052,0.0186570380176092,0.0165351994983774,0.0175709655894014,0.5610619810465419,0.165037442876355,0.3307923252436965,-0.4576568888503572,0.1513893864266056,0.016265615094349,0.857641975523512,124.49911068330448,0.1029867889046477,0.0305821006525562,-1.0440755688800831,5.79872817979885,0.8574113020565711,11491.443823455173,1848,36.0,-121.8556701,0.6076737672822872,1.72245403793553,408.14875751267186
mascon 1856,12402.09,1.431987647902751,0.8893085282683602,187,4.807140508959333,0.1267654784035069,14.144688552020217,15.103498964262348,10.679786537273904,0.0118696640575238,0.0089620551161164,0.0102812106825285,0.7084449692472695,0.3029569788361127,0.4858425222176923,-0.6313697898897336,0.3067462911720826,-0.0055905465018018,0.94683386476826,145.63273615056974,0.3114984024063241,0.0598765754920511,0.7030876245805313,10.505840180265755,0.9467363203479282,28391.159948065004,1856,35.0,-118.16326530000003,0.40059504241327776,0.8893085282683602,335.697065264476
mascon 1842,12390.17,0.9065397464121212,0.896806644432995,187,8.759522418656088,0.3053358917657582,13.669235111944614,16.09805216636633,11.383041850732424,0.0268237520137125,0.0223374526273928,0.0282999786979088,0.878889162249819,0.4446391068297519,0.5987250994215464,-0.5742337492213416,0.3438081585937551,0.1537679168457018,0.0977855938722315,122.2795174557726,0.1917889411870082,0.0329907755073136,-6.734723264685307,3.9454180778484025,0.0904289479028242,5559.310622081072,1842,38.0,-118.93992930000002,0.729960201554674,0.896806644432995,966.2590585050785
mascon 1830,12387.74,0.8356161222150537,0.7860854879222012,187,6.3654004261191135,0.3440315782519624,18.514476699315924,21.13769157909739,14.946605054209543,0.0230173726410914,0.0185817608479678,0.0217401932619511,0.7941712871955998,0.233206478813483,0.5102267564477758,-0.3233773864686728,0.1649957950064698,0.0838144088913742,0.3056702084345197,153.36144186122326,0.0962059704645973,0.0146068360944852,-4.0995418045874885,3.96770726009038,0.3031567151279964,7550.02680843428,1830,41.0,-122.8782288,0.5304500355099261,0.7860854879222012,761.7613228004375
mascon 1860,12384.63,0.7293096021563883,0.4942624718675962,187,5.417768372720424,0.2239087503854217,14.177794730382413,14.760837648505168,10.437488397251697,0.0214523592135804,0.0157929180555559,0.0178202439089134,0.5636684255864624,0.1807440488568836,0.4564125775596178,-0.4829404452985997,0.2204200934465235,-0.0509236260762683,0.5290656748920909,155.93648966385788,0.1606152136181718,0.0273336518976216,3.276436155349284,5.187481527242214,0.5285883424331357,8691.802917755493,1860,34.0,-117.78523489999998,0.451480697726702,0.4942624718675962,742.8626137241881
mascon 1826,12379.21,0.7265657767000934,0.6954911144166092,187,1.2047010569087957,0.0763553767135979,15.97014214374822,18.36419317274166,12.985445523465328,0.0058800737006381,0.0047811331938262,0.0053867780003226,0.7534228404857154,0.061069542713958,0.454042170401372,-0.2263469654746099,0.1027710674678563,-0.048051183316113,0.5563971033180278,152.65964533847094,0.0875292682168375,0.0140630627201535,9.1930897055884,15.592121974681842,0.5563489876427802,115689.63536339416,1826,42.0,-123.3707865,0.10039175474239964,0.6954911144166092,165.80756973997464
mascon 1838,12393.11,0.7013887449878201,0.6364200397519203,187,4.7023797707248125,0.2460384643602216,16.383829852208663,20.60116317752645,14.567222183159553,0.0168898683130305,0.0150171520688158,0.0195635412952424,0.7982534653351318,0.3200877042841276,0.6288763545903293,-0.3446281551881999,0.2167284979239454,0.1416122435903249,0.1145660422959094,129.43090373356077,0.1079015052780668,0.0133219110838762,-7.810369974693207,4.837987806335572,0.1089371857513033,14021.91933478286,1838,39.0,-120.64516130000004,0.3918649808937344,0.6364200397519203,670.4384414960167
mascon 1882,12393.11,0.4457369254692707,0.4371537177458441,187,0.6776476858452757,0.0263750818800538,14.690804978416368,17.41189242833685,12.312067209367688,0.0021422139297604,0.0017953462671925,0.0023005207157273,0.869042722171047,0.3178564509672857,0.6221687994030405,-0.4764457907802625,0.2964297056303882,0.031129324451445,0.7294400102598986,126.71083697291591,0.3443176840608047,0.0450682629909832,-15.43934327379218,44.39699888390624,0.7286140787343124,871634.3027362674,1882,39.0,-119.35483869999996,0.05647064048710631,0.4371537177458441,152.02861758241139
mascon 1846,12383.61,0.4453980708959865,0.4225150987253085,187,4.2531240786889954,0.137171135963457,13.319235164090076,15.335997580079384,10.844187885134614,0.0126492769598259,0.0102987246845286,0.0123735890253703,0.8415897191649265,0.4043658676840262,0.5464047649606525,-0.64103203504329,0.3502629584400776,0.0841663340189483,0.3723309243056924,114.6155475924614,0.1454294074455804,0.0305426375956865,-8.917937377793463,9.94196872738621,0.3716500607601191,24999.342578791107,1846,37.0,-118.53658540000004,0.35442700655741627,0.4225150987253085,954.9040188102263
mascon 1833,12392.33,0.4406636792488055,0.3996201612765032,187,0.7265412603262243,0.070674077171782,25.321180564394066,26.53610177822702,18.76385751364073,0.0037665004181791,0.0027911051379319,0.0032420101599035,0.6275713843075487,0.0825576328698068,0.5045461142504479,-0.1954748586266217,0.0986260803537176,-0.0189770854384711,0.8202964640482471,147.07199690881149,0.104854105413968,0.0151083001292196,5.985737317897359,26.21542018604193,0.8197143360414463,281957.69486723293,1833,40.0,-123.70909089999998,0.06054510502718536,0.3996201612765032,164.8743235577643
mascon 1851,12373.54,0.2360296342966444,0.2126821210499787,187,1.1749843169455996,0.0873491232678593,13.41115538475999,14.77802711853489,10.449643188074717,0.0083590531940404,0.0065131691313576,0.0074335204650408,0.6255627833076645,0.0937599778119319,0.4761761619499556,-0.2730728789170725,0.1300307954153565,-0.0428769172506336,0.6478531988577946,117.2632710432271,0.2214424505389102,0.0386688235521626,6.017565843293086,13.05354918616751,0.6456814778237596,57246.08794946184,1851,36.0,-118.1443299,0.09791535974546663,0.2126821210499787,497.8122007632599
mascon 1847,12383.61,0.0673465938294172,0.0666248456426277,187,0.1181704966148573,0.0023062818074346,12.546166848471149,13.888800157334876,9.82086477379628,0.0002348349010555,0.0001838236200179,0.0002190379595925,0.8628320793063284,0.3010703079868695,0.5384106562712729,-0.6243476249366248,0.3361554144835387,-0.0532998778718683,0.5478462262774999,130.98471005627746,0.6453103039004628,0.1066197503218114,312.792526495294,516.1952189760897,0.5456159471855331,72532844.14751673,1847,37.0,-117.28223000000004,0.009847541384571442,0.0666248456426277,175.46618157730802
mascon 1889,12390.17,0.0412542402045726,0.039729864558659,187,1.304040308229855,0.0432453626144801,12.819929882908506,14.249273505535673,10.075757922746082,0.0042920208034031,0.0033732916645772,0.004079198686907,0.8279743084628133,0.2052218483888623,0.5533741183790449,-0.495034228735726,0.2739391298940828,-0.0949509810270711,0.3104562357853763,118.80363373870324,0.6878508648535704,0.1014523307809402,26.983544703770157,26.16555573899466,0.3045669511464662,217138.26066085463,1889,38.0,-117.6678445,0.10867002568582125,0.039729864558659,3160.9849115226607
