mascon_id,lat_center,lon_180,area_km2,leakage_2sigma_cm,leakage_trend_cm_yr,nl_area_frac,chirps_cells,chirps_mm_yr,tws_trend_mm_yr,tws_p,res_trend_mm_yr,tws_trend_paired_mm_yr,n_months_reservoir_defined,minus_res_trend_mm_yr,minus_res_p,reservoir_share_of_tws_trend,tws_precipadj_trend_mm_yr,tws_precipadj_p,tws_frac_unexplained_by_precip,minus_res_precipadj_trend_mm_yr,minus_res_precipadj_p,minus_res_frac_unexplained_by_precip,grace_noise_2sigma_mm,land_frac,dist_km,post2020_tws_mm,post2020_minusres_mm,post2020_csr_mm,pre2020_tws_mm,drought_tws_mm,drought_minusres_mm,drought_csr_mm,predrought_tws_mm,drought_drawdown_mm,drought_drawdown_minusres_mm,post2020_cum_precip_cm,drought_cum_precip_cm,csr_r,csr_trend_mm_yr,basin,country
3226,26.0,-101.98142410000004,12397.52,1.1737160055810114,-0.2234131317727231,0.0,4,299.9092052707967,-3.055254353947813,0.0022283031925219,0.0,-3.055254353947813,255,-3.055254353947813,0.0022283031925219,-0.0,-3.909330086508317,0.0002802564983905,1.279543250288448,-3.909330086508317,0.0002802564983905,1.279543250288448,15.171017376951635,1.0,222.77674620469543,-61.92561768206456,-61.92561768206456,-89.8774460791025,-11.320040895500115,-50.25546419930954,-50.25546419930954,-64.45529517128722,-3.5324123383810133,-46.72305186092853,-46.72305186092853,6.183827551690796,4.4868581976625865,0.8471315316968882,-4.79135343932425,2004.0,Mexico
3230,25.0,-102.14723930000002,12387.25,1.052302935566943,-0.1996253220614972,0.0,4,349.76776170361904,-2.9758605746465863,0.0051490779024559,0.0,-2.9758605746465863,255,-2.9758605746465863,0.0051490779024559,-0.0,-2.339059421833756,0.0008848814330664,0.7860110926438623,-2.339059421833756,0.0008848814330664,0.7860110926438623,15.066209366632226,1.0,264.82754021700566,-60.52551140752102,-60.52551140752102,-84.10324947330673,-10.79918510549598,-48.86412495540248,-48.86412495540248,-62.60619867006968,-3.469722604172097,-45.394402351230376,-45.394402351230376,-10.950287036109188,-11.773230665671136,0.8595818211764212,-4.433649162301025,2004.0,Mexico
3231,25.0,-101.0429448,12387.25,1.1906448830830805,-0.4141543389261499,0.2008760215847644,4,414.4308886577173,-0.9154998113551792,0.3517885629950219,0.0,-0.9154998113551792,255,-0.9154998113551792,0.3517885629950219,-0.0,-1.0275916991599228,0.121692810768983,1.1224379146936343,-1.0275916991599228,0.121692810768983,1.1224379146936343,15.729358647534175,1.0,170.7092663408051,-24.725951101382574,-24.725951101382574,-64.21634571496287,8.107373111777836,-16.08553645014763,-16.08553645014763,-62.0573700032278,21.020327646285292,-37.10586409643293,-37.10586409643293,-10.412174331993924,-12.482380597554698,0.7563541257039177,-3.3406341126347368,2004.0,Mexico
3233,24.0,-102.31003040000002,12373.42,0.9453794155493188,-0.0478361900432455,0.0,6,377.9122440532311,-4.389274786499449,0.000148514202469,0.0,-4.389274786499449,255,-4.389274786499449,0.000148514202469,-0.0,-2.1087330131730733,0.0145628892789937,0.4804285709473291,-2.1087330131730733,0.0145628892789937,0.4804285709473291,15.672124843622006,1.0,340.41618671865785,-83.14854238695568,-83.14854238695568,-93.49635930814928,-22.57234125584364,-71.05039388603635,-71.05039388603635,-71.62485066004176,-20.42315558261341,-50.627238303422935,-50.627238303422935,-11.246159694685108,-10.892442092990745,0.8890424394885668,-4.953585644502951,2004.0,Mexico
3234,24.0,-101.2158055,12373.42,1.1024600704017729,-0.2744857871087779,0.0064012180549051,4,375.0535409290766,-2.271567765748407,0.0251686270621284,0.0,-2.271567765748407,255,-2.271567765748407,0.0251686270621284,-0.0,-2.1546156340224574,0.003673027099456,0.9485147951606816,-2.1546156340224574,0.003673027099456,0.9485147951606816,16.072833648554695,1.0,266.84317016438,-46.85433989011992,-46.85433989011992,-76.91449266549597,-3.95144215795315,-37.23642255521069,-37.23642255521069,-74.36774884293828,3.014977300850055,-40.25139985606075,-40.25139985606075,-5.091661574380487,-3.819465367239917,0.8564219912856222,-4.036438543324083,2004.0,Mexico
3235,24.0,-100.1215805,12373.42,1.3129073735357073,-0.5045001183179956,0.8194210682046034,4,549.5261811841395,0.2564344895136201,0.7878923190697175,0.0,0.2564344895136201,255,0.2564344895136201,0.7878923190697175,0.0,0.5733996866883688,0.4066431986895599,2.236047451245492,0.5733996866883688,0.4066431986895599,2.236047451245492,16.99301707562251,1.0,225.48126021401853,-4.144281389253836,-4.144281389253836,-49.11957795804971,17.086339390008813,3.055314626855156,3.055314626855156,-63.678859929650926,28.14220777557541,-25.08689314872025,-25.08689314872025,-10.743125915771524,-13.94916898824297,0.7241121392872215,-2.4392200297633977,2004.0,Mexico
3237,23.0,-101.69184289999998,12393.41,0.9457498173828056,0.0619634030132289,0.0,4,398.5191640657248,-5.829131497830534,3.15523303350518e-06,0.0,-5.829131497830534,255,-5.829131497830534,3.15523303350518e-06,-0.0,-5.500784226110072,3.904458085472687e-06,0.9436713219040151,-5.500784226110072,3.904458085472687e-06,0.9436713219040151,16.421652469491526,1.0,387.009889012586,-105.06970214548832,-105.06970214548832,-111.0522763936422,-31.34531504515972,-93.08740007582432,-93.08740007582432,-90.80848223535804,-36.5255789826236,-56.56182109320072,-56.56182109320072,0.2130336861012918,4.325169330046789,0.9140821066993118,-5.933196251254042,2004.0,Mexico
3238,23.0,-100.6042296,12393.41,1.1240426660172227,-0.133328981045177,0.0939945923516484,4,438.19139621306937,-3.840851360396126,0.0003908014800276,0.0,-3.840851360396126,255,-3.840851360396126,0.0003908014800276,-0.0,-3.304351062903077,4.564701486947078e-05,0.860317349683192,-3.304351062903077,4.564701486947078e-05,0.860317349683192,17.069563604278144,1.0,344.5377055086896,-71.60204245564009,-71.60204245564009,-88.95351381014713,-14.268771765960585,-63.62034172730314,-63.62034172730314,-92.48317365584208,-16.793570088015667,-46.82677163928747,-46.82677163928747,-8.113064557396743,-6.222783357918992,0.922947401566776,-4.630578418053876,2004.0,Mexico
3239,22.0,-101.0810811,12409.39,1.1897890053469855,0.2396061642844157,0.0,4,432.0572834776849,-8.107087882056646,7.29730509283011e-08,-0.012460616297396,-8.94286897075938,208,-8.925412164303244,1.2927982319646902e-05,0.0019520364788093,-7.143745602463596,4.1174383155442816e-08,0.8811728337464789,-7.817610962748072,1.1020678170650714e-05,0.8758823479339396,17.824164814635765,1.0,464.796703522808,-141.32701452262702,-139.76616211934555,-146.89808300359573,-43.11496853435206,-130.09240875331062,-123.86505406932876,-124.0924708686186,-59.11913618755839,-70.97327256575224,-64.77461957093846,-5.173463667767334,1.1170169123361458,0.929327640731628,-7.902064055257448,2004.0,Mexico
3240,25.0,-98.83435580000004,12387.25,1.6794763485750763,-0.633485740571575,0.342676309941868,4,716.9153682349884,1.855237056299197,0.0752981047665971,0.0,1.855237056299197,255,1.855237056299197,0.0752981047665971,0.0,4.036692198000687,3.721914347118946e-05,2.175836335467031,4.036692198000687,3.721914347118946e-05,2.175836335467031,18.86641513445854,1.0,144.40154817025098,23.937613624872437,23.937613624872437,-18.926311931816,31.510987649568253,28.181301165165173,28.181301165165173,-34.723320194420644,48.114518135579104,-19.93321697041393,-19.93321697041393,-32.80289949306167,-42.29662111700611,0.6368733921049071,-0.8115744208724873,2005.0,Mexico
