mascon_id,lat_center,lon_center,country_of_center,area_km2,frac_area_arabian_peninsula,trend_cm_per_yr,trend_p_value,trend_leakage_uncert_cm_per_yr,leakage_2sigma_cm,noise_sd_cm,trend_grace_only_cm_per_yr,trend_gracefo_only_cm_per_yr,intermission_step_cm,intermission_step_p,chirps_mean_annual_precip_mm,chirps_annual_cv,precip_adjusted_trend_cm_per_yr,fraction_unexplained_by_precip,variance_snr,residual_over_noise_sd,residual_lag1_autocorr,annual_amplitude_cm,n_months_observed,significant_decline,trend_exceeds_leakage_uncert,precip_control_passed,is_candidate
9398,29.0,52.16560509999999,Iran,12406.28,0.0,-1.5268862448889884,3.6814036693431526e-14,0.5568321485839346,2.2035704940765504,1.1583225053547797,-2.189466087343672,-1.295159405024786,9.516430313141514,3.6604174311682357e-25,254.01517139514908,0.2619978010983221,-1.3921956023583362,0.9117873757907584,106.74207872985475,3.366732306453564,0.78455384379243,5.517451256625562,254,True,True,True,False
9399,29.0,53.312101900000016,Iran,12406.28,0.0,-2.1079328665985466,7.694913270146361e-20,0.9005325734907506,1.89311597323822,1.0136045935094449,-2.6485957188659626,-2.140793218251585,8.23891976988986,2.03916634528483e-23,198.8306387863122,0.2932791821810692,-2.07976644231818,0.986637893110032,237.66526158666744,3.435857087554037,0.7722030298759014,5.163890474348096,254,True,True,True,False
9400,29.0,54.45859870000001,Iran,12406.28,0.0,-2.468989606501636,1.5033989861289227e-28,1.083962772469785,1.6465948551791316,0.9337341610454344,-2.8395782357414188,-2.7661994296203414,6.252378575973078,7.393377245088087e-18,167.31305404837866,0.3233103528699534,-2.405381937125412,0.9742373685135308,367.85883789910616,3.200110918210471,0.7320585542712151,4.426142619975932,254,True,True,True,False
9401,29.0,55.6050955,Iran,12406.28,0.0,-2.499125668444124,2.644789343355364e-37,1.0413841107221065,1.4084945519660297,0.9050794868707144,-2.704542094073984,-2.987494378127665,4.197628213986644,1.5164304410752622e-10,138.3226448095714,0.2899145025682219,-2.490113618113814,0.9963939187036078,394.5379523920553,2.885002058987017,0.6866541386918119,3.527768947973612,254,True,True,True,False
9402,28.0,51.6719243,Iran,12407.1,0.0,-1.1091323467245564,9.81236556846536e-17,0.2361434964536159,2.429510581512838,1.2208729167429937,-1.6746255440222546,-1.0477765597536963,8.459502434099669,1.359767849352595e-25,209.20012092217803,0.2649523660976582,-0.9756081073692672,0.8796137902301673,52.92110694031785,2.8190769555330832,0.71880286498045,4.086593440237015,254,True,True,True,False
9403,28.0,52.807571,Iran,12407.1,0.0,-1.636940940463245,3.633586214410209e-21,0.562912019714713,2.3173172668273168,1.130318957271951,-2.159385224721493,-1.7612021189840013,8.194053521319713,9.720251215783062e-25,203.6955794886065,0.3013175154892225,-1.497478181887245,0.9148028159546594,118.23409802929098,2.992399339324647,0.7316846120756442,4.121580242222275,254,True,True,True,False
9404,28.0,53.94321769999999,Iran,12407.1,0.0,-2.0727147927800096,1.1250105525251551e-27,0.8252480933771414,2.0094046738720315,1.037507639437133,-2.467722367399753,-2.4103358586744927,6.720962968780624,1.7938687580148072e-19,165.98720913170837,0.3277331115760856,-1.9206365141159183,0.9266284588724736,212.7691868699553,2.9739087719891133,0.7149917114384459,3.7986136016066094,254,True,True,True,False
9405,28.0,55.07886439999999,Iran,12407.1,0.0,-2.27553242381114,1.414984166385515e-36,0.9339476430971247,1.6789387952604962,0.9840034228857208,-2.533431827966637,-2.713006993209772,4.862733539070499,1.274325236540436e-12,154.32709748856723,0.3327773622005888,-2.192765832876836,0.9636275932312652,278.46047889010265,2.7993850048390345,0.6735049913127876,3.226896515668222,254,True,True,True,False
9406,28.0,56.214511000000016,Iran,12407.1,0.0,-2.205971556054941,7.436468646170295e-43,0.84762402054872,1.393863756190834,0.9428641799234594,-2.3477787216678925,-2.651419035948776,3.135236760137424,7.412842358435938e-07,156.91632503876465,0.3272792783950541,-2.1704593262053216,0.983901773460249,282.4396505093219,2.632371151043756,0.640704213508358,2.557784604011476,254,True,True,True,False
9407,28.0,57.35015770000001,Iran,12407.1,0.0,-1.9292206382625865,1.0698117500016675e-40,0.6480216530772547,1.2301862404019095,0.8720100493579505,-2.004661710409948,-2.281514338106338,1.929781806595608,0.0012533379402678,123.28257397826138,0.3319287529388641,-1.9544867443521168,1.0130965352476662,252.8618952311756,2.650177276733303,0.6463820040527634,2.0562566647854967,254,True,True,True,False
9408,27.0,53.4375,Iran,12404.16,0.0,-1.302368685431868,2.264172802391138e-24,0.2587221498966363,2.096584584485784,1.018825552631226,-1.6280047004488902,-1.7877673484326162,6.011907552860735,7.878811391556604e-18,160.42435898755986,0.3084654806024728,-1.1913599457958428,0.9147639674711509,95.5807086521925,2.822091390333708,0.6876438152233315,4.002922227886617,254,True,True,True,False
