mascon_id,lat_center,lon_center,lon_center_0_360,lat_span_deg,lon_span_deg,area_km2,gsfc_location_code,gsfc_basin_code,country_of_center,frac_area_land,frac_area_arabian_peninsula,on_arabian_peninsula,leakage_2sigma_cm,leakage_trend_uncert_cm_per_yr,mean_noise_2sigma_cm,series_std_cm,signal_variance_cm2,noise_variance_cm2,variance_snr,n_months_observed,tws_trend_cm_per_yr,tws_p_value,gws_trend_cm_per_yr,gws_p_value,gws_significant_decline,gws_trend_noah_cm_per_yr,nongw_trend_noah_cm_per_yr,gws_trend_vic_cm_per_yr,nongw_trend_vic_cm_per_yr,gws_trend_clsm_cm_per_yr,nongw_trend_clsm_cm_per_yr,gws_model_spread_cm_per_yr,gws_mean_ensemble_spread_cm,n_models,gws_precip_adjusted_trend_cm_per_yr,gws_fraction_unexplained_by_precip
9128,32.0,47.80327869999999,47.8032787,1.0,1.1803279,12380.52,80,6004,Iran,1.0,0.0,False,2.0993641890548305,-0.0837127008256228,2.080162405328824,7.26940159497186,52.84419954897943,1.1196610991868925,46.19660224630055,254,-0.3618419939211357,0.014339298595519818,-0.2514451898036709,0.00286273774278972,True,-0.18796286962784592,-0.17387912429328978,-0.2214840909309972,-0.14035790299013806,-0.34488860885216877,-0.016953385068967153,0.15692573922432285,2.9221262201889493,3,-0.1805064132129208,0.7178757857879909
9129,32.0,48.9836066,48.9836066,1.0,1.1803279,12380.52,80,6004,Iran,1.0,0.0,False,2.6030841128739723,-0.1276985786549345,2.18976257374879,7.884678606272081,62.16815672420464,1.2407553625276837,49.10508807921235,254,-0.19965737847300158,0.22442767770466346,-0.1546851473931703,0.15261615246814852,False,-0.12301845471477213,-0.076638923758229,-0.14981420597427197,-0.04984317249873005,-0.191222781490465,-0.008434596982536124,0.06820432677569288,3.404868449079205,3,-0.079735354512871,0.515468717304862
9130,32.0,50.16393440000002,50.1639344,1.0,1.1803279,12380.52,80,6004,Iran,1.0,0.0,False,2.5764430838252763,-0.2585426724725859,2.0746971575248683,8.021886508882508,64.3506631613912,1.1137854168143444,56.776535937638094,254,-0.04825296880801666,0.7987998077606536,0.02368756931357474,0.8664649263940346,False,0.06497810597741815,-0.1132310747854346,0.026716782108569807,-0.07496975091658609,-0.02063218014526491,-0.02762078866275175,0.08561028612268307,4.414025443494114,3,0.06513836213719575,2.749896423516389
9131,32.0,51.3442623,51.3442623,1.0,1.1803279,12380.52,80,6004,Iran,1.0,0.0,False,2.061217747721215,-0.4103771630590142,1.9771964957768235,7.437516483415579,55.31665144107845,1.0115602789481437,53.68448355702407,254,-0.05138182558298787,0.779860556506614,0.108618950438641,0.35402083590324684,False,0.13802318341329856,-0.1894050089962871,0.16960448997041574,-0.22098631555340376,0.01822917793220835,-0.06961100351519711,0.1513753120382074,4.081374902498763,3,0.007589195549326369,0.06986990316771212
9132,31.0,43.8311688,43.8311688,1.0,1.1688312,12393.06,80,6004,Iraq,1.0,0.0,False,1.17505537968115,-0.8348776715624862,1.5304623503287256,3.171351071249348,10.057467617114389,0.6060903983933914,15.594005850900231,254,-0.03531708648418097,0.7009362492645871,-0.11438226269441287,0.1106574357615429,False,-0.028393896368378718,-0.006923190115802225,-0.2784189008787933,0.24310181439461204,-0.03633399083606681,0.001016904351885728,0.25002500451041454,2.6871199260915977,3,-0.1327178446321184,1.1603009199659864
9133,31.0,45.0,45.0,1.0,1.1688312,12393.06,80,6004,Iraq,1.0,0.0,False,1.267548947609617,-0.8011725041548512,1.565649713223625,3.4424714634021285,11.850609776337992,0.6342804255930033,17.68354957550296,254,0.029761209947379186,0.7543921545192824,-0.06334137291573327,0.37859089163224985,False,0.0883611109926743,-0.05859990104529489,-0.3112856208048882,0.3410468307522674,0.032900391065013856,-0.003139181117634726,0.3996467317975625,3.375906403195263,3,-0.06647744646035764,1.049510665782323
9134,31.0,46.1688312,46.1688312,1.0,1.1688312,12393.06,80,6004,Iraq,1.0,0.0,False,1.3365589137293508,-0.6614316592022078,1.5661589834735663,3.971317322158248,15.771361273274156,0.6346931267019438,23.848797961980285,254,0.005891162848649323,0.950631975128295,0.07714233315107721,0.2709688401027721,False,0.12916213109334906,-0.12327096824469952,0.08904449417926541,-0.08315333133061631,0.013220374180616723,-0.007329211331967456,0.11594175691273234,1.9739808012750524,3,0.15383982244257516,1.994233466354873
9135,31.0,47.337662300000005,47.3376623,1.0,1.1688312,12393.06,80,6004,Iraq,1.0,0.0,False,1.614619902565573,-0.4833894635493611,1.610257455815936,4.901364250147025,24.02337151261931,0.6709385422537975,34.80562152819645,254,-0.05191121144604516,0.5895841165788698,0.04480729765539948,0.43282789415317097,False,0.1525199295069406,-0.20443114095298487,0.022970062682461823,-0.07488127412850609,-0.04106809922320398,-0.010843112222840401,0.19358802873014458,2.405100662330316,3,0.11155677236637261,2.4897009684521674
9136,31.0,48.506493500000005,48.5064935,1.0,1.1688312,12393.06,80,6004,Iran,0.9984857932090722,0.0,False,2.231559240844613,-0.3036098647427827,1.8870410160995343,6.149224251672076,37.81295889735201,0.9214139503499852,40.0379709174029,254,-0.11462734661174778,0.2928679628419896,-0.05871533454746647,0.26832337051945204,False,0.0025371936265559114,-0.1171645402383037,-0.07045512651227614,-0.04417222009947164,-0.10822807075668095,-0.006399275855067166,0.11076526438323686,2.3527594392568223,3,-0.023153350478382295,0.3943322584607729
9137,30.0,44.56591639999999,44.5659164,1.0,1.1575563,12401.62,80,6004,Iraq,1.0,0.0242311796369399,False,1.1913646422063249,-0.879412787525878,1.5447036540829258,2.810865372519779,7.900964142430756,0.6174224989061641,11.796689716406894,254,0.0007580639959225977,0.9912079497602395,-0.10066452185504904,0.2758663161447236,False,0.011853679404446815,-0.011095615408524218,-0.30776062021225115,0.30851868420817363,-0.006086624757343451,0.006844688753265882,0.31961429961669796,3.0990243148756407,3,-0.2506890951026259,2.4903420836151526
9138,30.0,45.7234727,45.7234727,1.0,1.1575563,12401.62,80,6004,Iraq,1.0,0.0,False,1.1604017057660605,-0.9259770673097056,1.4988015019319023,3.2258974614630223,10.406414431873571,0.5812732570559992,16.902792370974378,254,0.14626774140916488,0.052043413936841,0.10628027032217535,0.06045209558514174,False,0.20162638108108477,-0.055358639671919896,-0.030946979371798022,0.1772147207809628,0.14816140925723942,-0.0018936678480742097,0.2325733604528828,2.555216215438651,3,0.06280214342171939,0.5909106481508049
9139,30.0,46.88102889999999,46.8810289,1.0,1.1575563,12401.62,80,6004,Iraq,1.0,0.2116063660201312,False,1.2450133541078023,-0.8286803727398864,1.4853026706856292,3.62917364743375,13.170901363227587,0.5708500287280793,22.07243706823296,254,0.15372519751428193,0.03569060763291358,0.19142299154543307,0.0005355569103290721,False,0.2362636354061094,-0.08253843789182724,0.17272188746038308,-0.018996689946100598,0.16528345176980697,-0.011558254255524814,0.07098018363630243,1.7838531183186879,3,0.1929916596851361,1.008194773924692
9140,30.0,48.0385852,48.0385852,1.0,1.1575563,12401.62,80,6004,Kuwait,0.8096925121411043,0.3342080704224822,False,1.6059667866092415,-0.6011633629454117,1.6170854194642434,4.229180471605721,17.88596746141119,0.6766405579865886,25.43348414501293,254,0.03204855144424812,0.6560822051462719,0.09626528277858615,0.024773593069664285,False,0.11937361069121799,-0.0873250592469701,0.12397441946130083,-0.09192586801705294,0.04544781818323962,-0.013399266738991167,0.07852660127806121,1.909451907976997,3,0.12788887605361832,1.3285046525835036
9141,29.0,44.14012739999998,44.1401274,1.0,1.1464968,12406.28,80,6004,Saudi Arabia,1.0,0.939365466894766,True,1.3786182786523091,-0.3633343661404854,1.5138467866600798,4.963558989275762,24.636917840020217,0.5930017158772497,40.5461156019994,254,-0.6271169783089614,4.5880241016883976e-23,-0.7474001306034622,8.99754873395034e-21,True,-0.6385084687318495,0.01139149042288845,-0.9743649443240373,0.34724796601507607,-0.629326978754499,0.0022100004455375966,0.34503796556953836,3.1980816085884483,3,-0.8698643917963373,1.1638536791450593
9142,29.0,45.286624200000006,45.2866242,1.0,1.1464968,12406.28,80,6004,Saudi Arabia,1.0,0.6479991179305242,True,1.36575401609257,-0.6195954820752947,1.4845103329712137,3.0933299566114614,9.568690220469865,0.5702411489701911,15.78007670570624,254,-0.2866425395306962,4.72311392100173e-09,-0.39838924238934553,9.655891643796138e-19,True,-0.2790176486240396,-0.007624890906656301,-0.6213966719934111,0.3347541324627149,-0.29475340655058613,0.008110867019890389,0.3423790233693715,3.2450981042279996,3,-0.4715815345034049,1.1837205534845456
9143,29.0,46.433121,46.433121,1.0,1.1464968,12406.28,80,6004,Saudi Arabia,1.0,0.6879320591239189,True,1.3463496013839422,-0.7557827047611058,1.4550577032374536,2.6495843609972165,7.020297286041028,0.5478384833142733,11.814538408419477,254,-0.055112299051974345,0.19926539443531643,-0.21390395729498857,5.3383198081886804e-14,True,-0.043500806495272715,-0.011611492556701686,-0.5350223772930501,0.4799100782410758,-0.06318868809664346,0.00807638904466923,0.4915215707977774,4.058816961083505,3,-0.2537027486351088,1.1860591633900204
