lat_center,lon_center,lat_span,lon_span,area_km2,location,mascon_id,lon_180,lat_min,lat_max,lon_min,lon_max
27.0,45.5625,1.0,1.125,12404.16,80.0,9239,45.5625,26.5,27.5,45.0,46.125
27.0,46.6875,1.0,1.125,12404.16,80.0,9240,46.6875,26.5,27.5,46.125,47.25
27.0,47.8125,1.0,1.125,12404.16,80.0,9241,47.8125,26.5,27.5,47.25,48.375
27.0,48.9375,1.0,1.125,12404.16,80.0,9242,48.9375,26.5,27.5,48.375,49.5
26.0,42.9102167,1.0,1.1145511,12397.52,80.0,9245,42.91021670000001,25.5,26.5,42.35294115000001,43.46749225000001
26.0,44.0247678,1.0,1.1145511,12397.52,80.0,9246,44.024767800000006,25.5,26.5,43.46749225000001,44.582043350000006
26.0,45.1393189,1.0,1.1145511,12397.52,80.0,9247,45.139318900000006,25.5,26.5,44.582043350000006,45.696594450000006
26.0,46.25387,1.0,1.1145511,12397.52,80.0,9248,46.253870000000006,25.5,26.5,45.696594450000006,46.811145550000006
26.0,47.3684211,1.0,1.1145511,12397.52,80.0,9249,47.368421100000006,25.5,26.5,46.811145550000006,47.925696650000006
26.0,48.4829721,1.0,1.1145511,12397.52,80.0,9250,48.482972099999984,25.5,26.5,47.925696549999984,49.04024764999998
26.0,49.5975232,1.0,1.1145511,12397.52,80.0,9251,49.59752320000001,25.5,26.5,49.04024765000001,50.15479875000001
26.0,56.2848297,1.0,1.1145511,12397.52,80.0,9252,56.28482969999999,25.5,26.5,55.72755414999999,56.84210524999999
25.0,42.5153374,1.0,1.1042945,12387.25,80.0,9254,42.51533739999999,24.5,25.5,41.963190149999996,43.06748464999999
25.0,43.6196319,1.0,1.1042945,12387.25,80.0,9255,43.6196319,24.5,25.5,43.067484650000004,44.17177915
25.0,44.7239264,1.0,1.1042945,12387.25,80.0,9256,44.72392640000001,24.5,25.5,44.17177915000001,45.27607365000001
25.0,45.8282209,1.0,1.1042945,12387.25,80.0,9257,45.82822089999999,24.5,25.5,45.276073649999994,46.38036814999999
25.0,46.9325153,1.0,1.1042945,12387.25,80.0,9258,46.932515300000006,24.5,25.5,46.38036805000001,47.48466255
25.0,48.0368098,1.0,1.1042945,12387.25,80.0,9259,48.036809800000015,24.5,25.5,47.48466255000002,48.58895705000001
25.0,49.1411043,1.0,1.1042945,12387.25,80.0,9260,49.141104299999995,24.5,25.5,48.58895705,49.69325154999999
25.0,50.2453988,1.0,1.1042945,12387.25,80.0,9261,50.245398800000004,24.5,25.5,49.69325155000001,50.79754605
25.0,51.3496933,1.0,1.1042945,12387.25,80.0,9262,51.34969330000001,24.5,25.5,50.797546050000015,51.90184055000001
25.0,55.7668712,1.0,1.1042945,12387.25,80.0,9263,55.7668712,24.5,25.5,55.21472395,56.319018449999994
25.0,56.8711656,1.0,1.1042945,12387.25,80.0,9264,56.87116559999998,24.5,25.5,56.319018349999986,57.42331284999998
24.0,43.2218845,1.0,1.0942249,12373.42,80.0,9266,43.22188449999999,23.5,24.5,42.67477204999999,43.76899694999999
24.0,44.3161094,1.0,1.0942249,12373.42,80.0,9267,44.316109400000016,23.5,24.5,43.768996950000016,44.863221850000016
24.0,45.4103343,1.0,1.0942249,12373.42,80.0,9268,45.41033429999999,23.5,24.5,44.86322184999999,45.95744674999999
24.0,46.5045593,1.0,1.0942249,12373.42,80.0,9269,46.50455929999998,23.5,24.5,45.95744684999998,47.05167174999998
24.0,47.5987842,1.0,1.0942249,12373.42,80.0,9270,47.59878420000001,23.5,24.5,47.05167175000001,48.14589665000001
24.0,48.6930091,1.0,1.0942249,12373.42,80.0,9271,48.69300909999998,23.5,24.5,48.14589664999998,49.240121549999984
24.0,49.787234,1.0,1.0942249,12373.42,80.0,9272,49.78723400000001,23.5,24.5,49.24012155000001,50.33434645000001
24.0,50.881459,1.0,1.0942249,12373.42,80.0,9273,50.88145900000001,23.5,24.5,50.33434655000001,51.42857145000001
24.0,51.9756839,1.0,1.0942249,12373.42,80.0,9274,51.97568390000001,23.5,24.5,51.42857145000001,52.52279635000001
24.0,53.0699088,1.0,1.0942249,12373.42,80.0,9275,53.06990880000001,23.5,24.5,52.52279635000001,53.61702125000001
24.0,54.1641337,1.0,1.0942249,12373.42,80.0,9276,54.16413370000001,23.5,24.5,53.61702125000001,54.71124615000001
24.0,55.2583587,1.0,1.0942249,12373.42,80.0,9277,55.2583587,23.5,24.5,54.71124625,55.80547115
24.0,56.3525836,1.0,1.0942249,12373.42,80.0,9278,56.3525836,23.5,24.5,55.80547115,56.89969605
24.0,57.4468085,1.0,1.0942249,12373.42,80.0,9279,57.4468085,23.5,24.5,56.89969605,57.99392095
31.0,49.6753247,1.0,1.1688312,12393.06,80.0,9391,49.675324700000004,30.5,31.5,49.090909100000005,50.259740300000004
31.0,50.8441558,1.0,1.1688312,12393.06,80.0,9392,50.84415580000001,30.5,31.5,50.25974020000001,51.42857140000001
